"","FK_STATION","FK_RANDOM_SAMPLE_LOCATION","FK_SAMPLE","COLLECTION_DATE","SAMPLE_TYPE","MATRIX","MATRIX_VQ","Turbidity_Lab","Turbidity_Lab_VQ","Alkalinity_Total_as_CaCO3","Alkalinity_Total_as_CaCO3_VQ","Total_Dissolved_Solids_TDS_measured","Total_Dissolved_Solids_TDS_measured_VQ","Pheophytin_A_Monochromatic","Pheophytin_A_Monochromatic_VQ","Chlorophyll_A_Uncorrected_Trichromatic","Chlorophyll_A_Uncorrected_Trichromatic_VQ","Calcium_Total","Calcium_Total_VQ","Sodium_Total","Sodium_Total_VQ","Barium_Total","Barium_Total_VQ","Selenium_Total","Selenium_Total_VQ","Copper_Total","Copper_Total_VQ","Lead_Total","Lead_Total_VQ","Magnesium_Total","Magnesium_Total_VQ","pH_Field","pH_Field_VQ","Specific_Conductance_Field","Specific_Conductance_Field_VQ","Oxygen_Dissolved_Field","Oxygen_Dissolved_Field_VQ","Oxygen_Dissolved_Percent_Saturation","Oxygen_Dissolved_Percent_Saturation_VQ","Water_Temperature","Water_Temperature_VQ","Depth_Bottom_of_Waterbody_Sample_Site","Depth_Bottom_of_Waterbody_Sample_Site_VQ","Transparency_Secchi_Depth","Transparency_Secchi_Depth_VQ","Sample_Depth","Sample_Depth_VQ","Water_Sample_Collection_Device","Water_Sample_Collection_Device_VQ","Water_Level","Water_Level_VQ","Stream_Flow_Qualitative","Stream_Flow_Qualitative_VQ","Chlorophyll_A_Monochromatic","Chlorophyll_A_Monochromatic_VQ","Escherichia_Coli_Quanti_Tray","Escherichia_Coli_Quanti_Tray_VQ","Potassium_Total","Potassium_Total_VQ","Antimony_Total","Antimony_Total_VQ","Thallium_Total","Thallium_Total_VQ","Beryllium_Total","Beryllium_Total_VQ","Hardness_calculated_as_CACO3","Hardness_calculated_as_CACO3_VQ","Iron_Total","Iron_Total_VQ","Silver_Total","Silver_Total_VQ","Nickel_Total","Nickel_Total_VQ","Aluminum_Total","Aluminum_Total_VQ","Arsenic_Total","Arsenic_Total_VQ","Chromium_Total","Chromium_Total_VQ","Manganese_Total","Manganese_Total_VQ","Zinc_Total","Zinc_Total_VQ","Cadmium_Total","Cadmium_Total_VQ","Molybdenum_total","Molybdenum_total_VQ","Sulfate_Total","Sulfate_Total_VQ","Phosphorus_Total_as_P","Phosphorus_Total_as_P_VQ","Fluoride_Total","Fluoride_Total_VQ","Total_Suspended_Solids_TSS","Total_Suspended_Solids_TSS_VQ","Kjeldahl_Nitrogen_Total_as_N","Kjeldahl_Nitrogen_Total_as_N_VQ","Ammonia_Total_as_N","Ammonia_Total_as_N_VQ","Organic_Carbon_Total","Organic_Carbon_Total_VQ","Color_true","Color_true_VQ","Specific_Conductance_Lab","Specific_Conductance_Lab_VQ","NitrateNitrite_Total_as_N","NitrateNitrite_Total_as_N_VQ","Chloride_Total","Chloride_Total_VQ","Weather","Weather_VQ","Salinity_ppt","Salinity_ppt_VQ","Orthophosphate_Dissolved_as_P","Orthophosphate_Dissolved_as_P_VQ"
"26",57867,"Z3-SS-14020","Z3SS2007-9",2020-07-29 09:39:00,"PRIMARY","WATER",NA,1.5,NA,25,NA,106,NA,0.9,"U",3.1,NA,12.8,NA,12.8,NA,14.8,NA,0.2,"U",0.51,"I",0.36,"I",1.58,NA,6.12,NA,138.8,NA,4.09,NA,50.1,NA,25.613,NA,0.2,NA,0.2,"S",0.1,NA,NA,NA,NA,NA,NA,NA,2.6,NA,70.3,"Q",1.6,NA,0.057,"I",0.1,"U",0.032,"I",38.6,NA,320,NA,0.01,"U",0.5,"U",276,NA,0.64,NA,0.75,"I",6.9,NA,5,"U",0.02,"U",0.16,"I",6.9,NA,0.017,NA,0.035,"U",2,"U",0.6,NA,0.006,NA,18,NA,120,NA,137,NA,0.046,NA,19,NA,2,NA,0.06,NA,NA,NA
"27",57868,"Z3-SS-14022","Z3SS2007-4",2020-07-27 12:44:00,"PRIMARY","WATER",NA,2.8,NA,14,NA,283,NA,1.2,"U",2,"I",17.2,NA,36.6,NA,20,NA,0.2,"I",0.4,"U",0.41,NA,5.66,NA,5.87,NA,309.3,NA,0.54,NA,6.8,NA,27.517,NA,5.9,NA,0.3,NA,0.3,NA,NA,NA,NA,NA,NA,NA,1.7,"I",16.9,"Q",1.3,NA,0.05,"U",0.1,"U",0.047,NA,66.2,NA,1970,NA,0.01,"U",0.7,"I",444,NA,1.09,NA,0.88,"I",26.8,NA,5.6,"I",0.02,"U",0.2,"I",7.6,NA,0.11,NA,0.06,"I",3,"I",1.4,NA,0.057,NA,45,NA,550,NA,306,NA,0.017,NA,67,NA,0,NA,0.15,NA,NA,NA
"28",57868,"Z3-SS-14022","Z3SS2007-5",2020-07-27 12:45:00,"BOTTOM","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.84,NA,307.7,NA,0.59,NA,7.5,NA,27.193,NA,5.9,NA,0.3,NA,5.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.15,NA,NA,NA
"29",57869,"Z3-SS-14023","Z3SS2007-12",2020-08-06 10:30:00,"PRIMARY","WATER",NA,4.3,NA,4.3,NA,60,NA,1.8,"U",2.5,"I",4.46,NA,4.5,NA,7.8,NA,0.2,"U",0.4,"U",0.44,NA,1.15,NA,6.33,NA,53.1,NA,7.22,NA,88.1,NA,25.401,NA,0.7,NA,0.7,"S",0.3,NA,NA,NA,NA,NA,NA,NA,1.8,"I",2419.6,"JQ",0.35,"I",0.05,"U",0.1,"U",0.031,"I",15.9,NA,510,NA,0.01,"U",0.5,"U",386,NA,0.36,NA,0.51,"I",4.1,NA,5,"U",0.021,"I",0.15,"U",4.1,NA,0.14,NA,0.071,"I",3,"I",0.36,"Y",0.006,"Y",12,NA,130,NA,53,NA,0.072,NA,7.3,NA,1,NA,0.02,NA,NA,NA
"30",57904,"Z4-SS-14001","Z4SS2007-3",2020-08-27 10:15:00,"PRIMARY","WATER",NA,5.5,NA,5.9,NA,57,NA,1.9,"I",6.9,NA,5.39,NA,4.8,NA,14.4,NA,0.2,"U",0.4,"U",0.24,"I",1.6,NA,6,NA,74.1,NA,2.38,NA,29.6,NA,26.3,NA,0.1,NA,0.1,"S",0.05,NA,NA,NA,NA,NA,NA,NA,5.5,NA,224.7,"Q",3.4,NA,0.05,"U",0.1,"U",0.016,"I",20,NA,390,NA,0.01,"U",0.5,"U",583,NA,0.31,NA,0.84,"I",4.7,NA,5,"U",0.02,"U",0.15,"U",9.5,"A",0.03,NA,0.035,"U",8,"I",0.61,NA,0.044,NA,11,NA,79,"A",75,NA,0.004,"U",8.3,"A",NA,NA,NA,NA,NA,NA
"31",57905,"Z4-SS-14002","Z4SS2007-1",2020-08-20 09:15:00,"PRIMARY","WATER",NA,5,"A",148,NA,445,NA,1.8,"U",4,NA,75.2,NA,31.8,NA,40,NA,0.2,"U",0.4,"U",0.2,"U",26.1,NA,7.98,NA,696,NA,3,NA,36.5,NA,25.1,NA,0.15,NA,0.15,"S",0.07,NA,NA,NA,NA,NA,NA,NA,3.6,"I",161.2,"AQ",2.4,NA,0.075,"I",0.1,"U",0.031,"I",295,NA,1190,NA,0.01,"U",0.72,"I",187,NA,3.07,NA,0.98,"I",46.7,NA,5,"U",0.02,"U",0.17,"I",88,NA,0.71,NA,0.34,NA,18,NA,2.2,NA,0.17,NA,32,NA,250,NA,694,NA,0.009,"I",69,NA,NA,NA,NA,NA,NA,NA
"32",57906,"Z4-SS-14007","Z4SS2007-2",2020-08-20 10:35:00,"PRIMARY","WATER",NA,3.4,NA,122,NA,9450,"J",14,NA,46,NA,170,NA,3040,NA,25,NA,0.8,"U",1.6,"U",0.8,"U",386,NA,7.53,NA,17034,NA,3.77,NA,51.5,NA,28.7,NA,0.36,NA,0.36,"S",0.18,NA,NA,NA,NA,NA,NA,NA,37,NA,780,"Q",124,NA,0.41,"I",0.4,"U",0.04,"U",2020,NA,110,"I",0.04,"U",2,"U",45,"I",4.03,NA,3,"U",39,NA,15,"U",0.08,"U",2.3,"I",800,NA,0.79,NA,0.86,NA,4,"IA",2.2,NA,0.1,NA,30,NA,180,NA,17600,NA,0.004,"U",5400,NA,NA,NA,NA,NA,NA,NA
"33",57907,"Z4-SS-14008","Z4SS2007-6",2020-09-03 09:10:00,"PRIMARY","WATER",NA,2.4,NA,0.65,"U",156,"AQ",1.8,"U",2.3,"I",7.36,NA,8.6,NA,18.8,NA,0.2,"U",1.03,NA,0.49,NA,1.27,NA,6.21,NA,121.2,NA,2.28,NA,27.6,NA,25.1,NA,0.3,NA,0.2,NA,0.15,NA,NA,NA,NA,NA,NA,NA,1.6,"U",1,"UQ",0.52,"I",0.061,"I",0.1,"U",0.116,NA,23.6,NA,2690,NA,0.01,"U",1.1,"I",808,NA,0.91,NA,0.89,"I",20.8,NA,7.1,"I",0.048,"I",0.15,"U",7.4,NA,0.062,NA,0.15,NA,5,"I",2.7,NA,0.29,NA,70,NA,590,NA,121,NA,0.004,"U",16,NA,NA,NA,NA,NA,NA,NA
"34",57908,"Z4-SS-14011","Z4SS2007-4",2020-09-02 10:00:00,"PRIMARY","WATER",NA,15,NA,66,NA,198,"A",5.6,NA,16,NA,23.7,NA,22.2,NA,9.2,NA,0.2,"U",3.03,NA,0.96,NA,9.78,NA,8.44,NA,286.4,NA,4.91,NA,61.5,NA,26.8,NA,0.16,NA,0.16,"S",0.08,NA,NA,NA,NA,NA,NA,NA,12,NA,275.5,"Q",4.9,NA,0.13,"I",0.1,"U",0.042,NA,99.5,NA,1630,NA,0.01,"U",0.99,"I",543,NA,2.34,NA,1.2,"I",23.1,NA,5,"U",0.02,"U",0.62,NA,21,NA,0.7,NA,0.34,NA,33,"A",1.4,NA,0.053,NA,16,NA,85,"A",290,NA,0.12,NA,32,NA,NA,NA,NA,NA,NA,NA
"35",57899,"Z5-SS-14001","Z5SS2007-5",2020-08-17 11:36:00,"PRIMARY","WATER",NA,2.5,NA,54,NA,114,"A",0.9,"U",3.1,NA,22.4,NA,9.1,NA,17.2,NA,0.2,"U",1.44,NA,0.32,"I",2.35,NA,6.82,NA,170.8,NA,4.15,NA,53.6,NA,28.5,NA,0.9,NA,0.9,"S",0.3,NA,NA,NA,NA,NA,NA,NA,2.5,NA,175.2,"AQ",3.1,NA,0.21,NA,0.1,"U",0.014,"I",65.7,NA,660,NA,0.01,"U",0.6,"I",128,NA,0.73,NA,0.58,"I",13.6,NA,5,"U",0.02,"U",0.94,NA,7.8,NA,0.053,NA,0.086,"I",3,"IA",0.63,NA,0.041,NA,12,NA,100,NA,173,NA,0.16,NA,13,NA,NA,NA,NA,NA,0.025,NA
"36",57900,"Z5-SS-14002","Z5SS2007-1",2020-08-06 10:50:00,"PRIMARY","WATER",NA,0.75,NA,0.65,"U",84,NA,1.8,"U",4.3,NA,1.78,NA,5.9,NA,4.8,NA,0.2,"U",0.4,"U",0.45,NA,0.82,NA,4.41,NA,77.9,NA,3.87,NA,47.4,NA,25.3,NA,0.3,NA,0.3,"S",0.15,NA,NA,NA,NA,NA,NA,NA,3.5,"I",41.7,"AQ",0.39,"I",0.05,"U",0.1,"U",0.016,"I",7.8,NA,970,NA,0.01,"U",0.5,"U",179,NA,0.66,NA,0.47,"I",6.4,NA,5,"U",0.02,"U",0.15,"U",0.25,"I",0.066,NA,0.051,"I",2,"I",1.4,NA,0.011,NA,38,NA,580,NA,57,NA,0.004,"U",8,NA,NA,NA,NA,NA,NA,NA
"37",57901,"Z5-SS-14004","Z5SS2007-3",2020-08-12 09:40:00,"PRIMARY","WATER",NA,13,NA,148,NA,1190,NA,1.8,"U",1.6,"I",248,NA,165,NA,43,NA,0.27,"I",0.89,NA,0.2,"U",13.1,NA,6.49,NA,196.7,NA,0.69,NA,8.4,NA,25.1,NA,0.3,NA,0.3,"S",0.15,NA,NA,NA,NA,NA,NA,NA,1.9,"I",2419.6,"JQ",1.4,NA,0.43,NA,0.1,"U",0.01,"U",672,NA,1690,NA,0.01,"U",0.84,"I",20,"I",4.96,NA,0.4,"U",129,NA,5,"U",0.02,"U",4.7,NA,300,NA,0.096,NA,0.12,NA,23,NA,1.7,NA,0.049,NA,29,NA,170,NA,1700,NA,0.007,"I",270,NA,NA,NA,NA,NA,NA,NA
"38",57902,"Z5-SS-14020","Z5SS2007-4",2020-08-13 12:40:00,"PRIMARY","WATER",NA,0.95,NA,32,NA,137,NA,1.8,"U",5.7,NA,17.3,NA,14.4,NA,6.3,NA,0.2,"U",0.4,"U",0.2,"U",1.94,NA,6.87,NA,150.6,NA,5.2,NA,71.4,NA,32.2,NA,0.4,NA,0.4,"S",0.2,NA,NA,NA,NA,NA,NA,NA,5.1,NA,145,"AQ",0.64,"I",0.075,"I",0.1,"U",0.01,"U",51.2,NA,210,NA,0.01,"U",0.5,"U",58,NA,0.83,NA,0.4,"U",13,NA,5,"U",0.02,"U",0.26,"I",0.73,NA,0.012,NA,0.038,"I",2,"I",1.4,NA,0.014,NA,30,NA,240,NA,152,NA,0.004,"U",24,NA,NA,NA,NA,NA,NA,NA
"39",57903,"Z5-SS-14025","Z5SS2007-7",2020-08-25 11:25:00,"PRIMARY","WATER",NA,1.2,NA,33,NA,101,NA,1.8,"U",7.2,NA,15.1,NA,5.3,NA,9,NA,0.25,"I",0.4,"U",0.2,"U",1.72,NA,6.09,NA,103,NA,1.81,NA,22.8,NA,28.8,NA,1.4,NA,0.7,NA,0.3,NA,NA,NA,NA,NA,NA,NA,6.9,NA,19.5,"Q",0.3,"U",0.05,"U",0.1,"U",0.023,"I",44.8,NA,560,NA,0.01,"U",0.5,"U",97,NA,0.58,NA,0.45,"I",7.2,NA,5,"U",0.02,"U",0.5,"I",2.4,NA,0.03,NA,0.069,"I",2,"I",1.1,NA,0.034,NA,26,NA,270,NA,104,NA,0.004,"U",7.8,NA,NA,NA,NA,NA,NA,NA
"40",57879,"Z6-SS-14001","Z6SS2007-3",2020-08-06 12:29:00,"BOTTOM","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.37,NA,1543,NA,2.17,NA,27.9,NA,28.2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",57879,"Z6-SS-14001","Z6SS2007-4",2020-08-06 12:30:00,"PRIMARY","WATER",NA,1.8,NA,125,NA,423,"A",1.1,"I",6.8,NA,55.5,NA,85.6,NA,23.3,NA,0.2,"U",1.2,NA,0.51,NA,10.2,NA,7.46,NA,807,NA,3.16,NA,41.2,NA,29.6,NA,2.5,NA,2,NA,0.3,NA,NA,NA,NA,NA,NA,NA,5.9,NA,1732.9,"Q",3.6,NA,0.29,NA,0.1,"U",0.01,"U",181,NA,170,NA,0.01,"U",0.5,"U",17,"I",1.16,NA,0.4,"U",9.5,NA,5.4,"I",0.02,"U",1.47,NA,25,NA,0.045,NA,0.15,NA,2,"UA",0.35,NA,0.079,NA,4.1,NA,22,NA,810,NA,0.1,NA,150,NA,NA,NA,NA,NA,NA,NA
"42",57880,"Z6-SS-14002","Z6SS2007-2",2020-08-04 14:00:00,"PRIMARY","WATER",NA,4.5,NA,166,NA,666,NA,2,"I",16,NA,93.4,NA,124,NA,40.4,NA,0.21,"I",5.12,NA,0.21,"I",24.4,NA,7.21,NA,1238,NA,2.92,NA,37.8,NA,29.3,"J",2,NA,0.8,NA,0.3,NA,NA,NA,NA,NA,NA,NA,14,NA,146.9,"AQ",8,NA,0.12,"I",0.1,"U",0.018,"I",334,NA,690,NA,0.01,"U",0.64,"I",105,NA,1.87,NA,0.57,"I",50.7,NA,5,"U",0.02,"U",3.05,NA,70,NA,0.26,NA,0.35,NA,6,"I",1.4,NA,0.15,NA,17,NA,110,NA,1260,NA,0.14,NA,240,NA,NA,NA,NA,NA,NA,NA
"43",57880,"Z6-SS-14002","Z6SS2007-1",2020-08-04 13:59:00,"BOTTOM","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.69,NA,1227,NA,2.59,NA,33.9,NA,29,"J",NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",57881,"Z6-SS-14003","Z6SS2007-6",2020-08-12 11:59:00,"BOTTOM","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.03,NA,298.7,NA,0.81,NA,10.4,NA,28.4,"J",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",57881,"Z6-SS-14003","Z6SS2007-7",2020-08-12 12:00:00,"PRIMARY","WATER",NA,7.7,"A",60,NA,252,"A",1.8,"U",7.3,NA,21.8,NA,28.3,NA,16.2,NA,0.2,"U",0.43,"I",0.4,NA,7.68,NA,6.85,NA,298.4,NA,0.73,NA,9.5,NA,28.5,"J",2.5,NA,0.4,NA,0.3,NA,NA,NA,NA,NA,NA,NA,6.6,NA,224,"AQ",7.5,NA,0.056,"I",0.1,"U",0.017,"I",85.9,NA,1500,NA,0.01,"U",1,"I",146,NA,1.26,NA,0.65,"I",121,NA,5,"U",0.02,"U",0.15,"U",5.8,NA,0.4,NA,0.083,"I",20,"A",2.6,NA,0.021,NA,37,NA,610,NA,297,NA,0.004,"U",47,NA,NA,NA,NA,NA,NA,NA
"46",57882,"Z6-SS-14005","Z6SS2007-10",2020-08-19 13:15:00,"PRIMARY","WATER",NA,4.9,"A",56,NA,120,NA,1.8,"U",5.9,NA,24,NA,5.6,NA,6.9,NA,0.2,"U",1.52,NA,0.33,"I",1.53,NA,7.07,NA,148,NA,2.62,NA,32.4,NA,25.8,NA,0.8,NA,0.3,NA,0.3,NA,NA,NA,NA,NA,NA,NA,6.2,NA,2419.6,"JQ",0.82,"I",0.066,"I",0.1,"U",0.01,"U",66.2,NA,1450,NA,0.01,"U",0.54,"I",119,NA,2.32,NA,0.81,"I",17.3,NA,5,"U",0.02,"U",0.51,"I",2.9,NA,0.13,NA,0.084,"I",2,"U",0.89,NA,0.027,NA,16,NA,160,NA,148,NA,0.1,NA,8,NA,NA,NA,NA,NA,NA,NA
"47",57883,"Z6-SS-14006","Z6SS2007-8",2020-08-13 13:04:00,"BOTTOM","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.17,NA,304.8,NA,3.57,NA,46.1,NA,28.6,"J",NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",57883,"Z6-SS-14006","Z6SS2007-9",2020-08-13 13:05:00,"PRIMARY","WATER",NA,5.3,NA,83,NA,204,"A",1.8,"I",9.7,NA,40,NA,27,NA,11.6,NA,0.23,"I",1.7,NA,0.32,"I",3.4,NA,7.09,NA,335.1,NA,3.49,NA,45.6,NA,29,"J",4.2,NA,0.4,NA,0.3,NA,NA,NA,NA,NA,NA,NA,8.3,NA,613.1,"Q",1.8,NA,0.11,"I",0.1,"U",0.018,"I",114,NA,1100,NA,0.01,"U",0.5,"U",255,NA,4.37,NA,1,"I",17.9,NA,5,"U",0.02,"U",1.05,NA,8.3,NA,0.14,NA,0.067,"I",5,"IA",0.82,NA,0.068,NA,20,NA,230,NA,301,NA,0.065,NA,32,NA,NA,NA,NA,NA,NA,NA
"49",0,NA,"Z5SS2007-6",2020-08-17 12:11:00,"FIELD BLANK","WATER",NA,0.1,"U",0.65,"U",15,"U",NA,NA,NA,NA,0.075,"U",0.5,"U",1,"U",0.2,"U",0.4,"U",0.2,"U",0.04,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"UQ",0.3,"U",0.05,"U",0.1,"U",0.01,"U",0.35,"U",30,"U",0.01,"U",0.5,"U",5,"U",0.05,"U",0.4,"U",1,"U",5,"U",0.02,"U",0.15,"U",0.2,"U",0.002,"U",0.035,"U",2,"U",0.08,"U",0.002,"U",0.5,"U",2.5,"U",2,"U",0.004,"U",0.2,"U",NA,NA,NA,NA,0.004,"U"
"50",0,NA,"Z2SS2007-7",2020-08-26 13:30:00,"FIELD BLANK","WATER",NA,0.1,"U",0.65,"U",15,"U",NA,NA,NA,NA,0.075,"U",0.5,"U",1,"U",0.2,"U",0.4,"U",0.2,"U",0.04,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"U",0.3,"U",0.05,"U",0.1,"U",0.01,"U",0.35,"U",30,"U",0.01,"U",0.5,"U",5,"U",0.05,"U",0.4,"U",1,"U",5,"U",0.02,"U",0.15,"U",0.2,"U",0.002,"U",0.035,"U",2,"U",0.08,"U",0.002,"U",0.5,"U",2.5,"U",2,"U",0.004,"U",0.2,"U",NA,NA,NA,NA,NA,NA
"51",0,NA,"Z5SS2007-2",2020-08-12 09:30:00,"FIELD BLANK","WATER",NA,0.1,"U",0.65,"U",15,"U",NA,NA,NA,NA,0.075,"U",0.5,"U",1,"U",0.2,"U",0.4,"U",0.2,"U",0.04,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"UQ",0.3,"U",0.05,"U",0.1,"U",0.01,"U",0.35,"U",30,"U",0.01,"U",0.5,"U",5,"U",0.05,"U",0.4,"U",1,"U",5,"U",0.02,"U",0.15,"U",0.2,"U",0.002,"U",0.035,"U",2,"U",0.08,"U",0.002,"U",0.5,"U",2.5,"U",2,"U",0.004,"U",0.2,"U",NA,NA,NA,NA,NA,NA
"52",0,NA,"Z6SS2007-5",2020-08-06 12:40:00,"FIELD BLANK","WATER",NA,0.1,"U",0.65,"U",15,"U",NA,NA,NA,NA,0.075,"U",0.5,"U",1,"U",0.2,"U",0.4,"U",0.2,"U",0.04,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"UQ",0.3,"U",0.05,"U",0.1,"U",0.01,"U",0.35,"U",30,"U",0.01,"U",0.5,"U",5,"U",0.05,"U",0.4,"U",1,"U",5,"U",0.02,"U",0.15,"U",0.2,"U",0.002,"U",0.035,"U",2,"U",0.08,"U",0.002,"U",0.5,"U",2.5,"U",2,"U",0.004,"U",0.2,"U",NA,NA,NA,NA,NA,NA
"53",0,NA,"Z4SS2007-5",2020-09-02 10:20:00,"FIELD BLANK","WATER",NA,0.1,"U",0.65,"U",15,"U",NA,NA,NA,NA,0.075,"U",0.5,"U",1,"U",0.2,"U",0.4,"U",0.2,"U",0.04,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"UQ",0.3,"U",0.05,"U",0.1,"U",0.01,"U",0.35,"U",30,"U",0.01,"U",0.5,"U",5,"U",0.05,"U",0.4,"U",1,"U",5,"U",0.02,"U",0.15,"U",0.2,"U",0.002,"U",0.035,"U",2,"U",0.08,"U",0.002,"U",0.5,"U",2.5,"U",2,"U",0.004,"U",0.2,"U",NA,NA,NA,NA,NA,NA
"54",0,NA,"Z3SS2007-6",2020-07-29 09:30:00,"FIELD BLANK","WATER",NA,0.1,"U",0.65,"U",15,"U",NA,NA,NA,NA,0.075,"U",0.5,"U",1,"U",0.2,"U",0.4,"U",0.2,"U",0.04,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"UQ",0.3,"U",0.05,"U",0.1,"U",0.01,"U",0.35,"U",30,"U",0.01,"U",0.5,"U",5,"U",0.05,"U",0.4,"U",1,"U",5,"U",0.02,"U",0.15,"U",0.2,"U",0.002,"U",0.035,"U",2,"U",0.08,"U",0.002,"U",0.5,"U",2.5,"U",2,"U",0.004,"U",0.2,"U",2,NA,NA,NA,NA,NA
"55",0,NA,"Z1SS2007-5",2020-07-27 12:36:00,"FIELD BLANK","WATER",NA,0.1,"U",0.65,"U",15,"U",NA,NA,NA,NA,0.075,"U",0.5,"U",1,"U",0.2,"U",0.4,"U",0.2,"U",0.04,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"UQ",0.3,"U",0.05,"U",0.1,"U",0.01,"U",0.35,"U",30,"U",0.01,"U",0.5,"U",5,"U",0.05,"U",0.4,"U",1,"U",5,"U",0.02,"U",0.15,"U",0.2,"U",0.002,"U",0.035,"U",2,"U",0.08,"U",0.002,"U",0.5,"U",2.5,"U",2,"U",0.004,"U",0.2,"U",NA,NA,NA,NA,NA,NA
"56",0,NA,"Z3SS2007-2",2020-07-27 12:35:00,"FIELD BLANK","WATER",NA,0.1,"U",0.65,"U",15,"U",NA,NA,NA,NA,0.075,"U",0.5,"U",1,"U",0.2,"U",0.4,"U",0.2,"U",0.04,"U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"UQ",0.3,"U",0.05,"U",0.1,"U",0.01,"U",0.35,"U",30,"U",0.01,"U",0.5,"U",5,"U",0.05,"U",0.4,"U",1,"U",5,"U",0.02,"U",0.15,"U",0.2,"U",0.002,"U",0.035,"U",2,"U",0.08,"U",0.002,"U",0.5,"U",2.5,"U",2,"U",0.004,"U",0.2,"U",0,NA,NA,NA,NA,NA
